GeoCode,Boro_Location,GeoCodeLabel,Number_of_Motor_Vehicle_Collisions,Vehicles_or_Motorists_Involved,Injury_or_Fatal_Collisions,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Bicycle
106,Queens 106th Precinct,106th Precinct,381,781,57,48,1,41,0,1,0,8,0,2
107,Queens 107th Precinct,107th Precinct,362,735,81,61,0,29,0,5,0,10,0,5
108,Queens 108th Precinct,108th Precinct,408,820,92,67,0,22,0,13,0,9,0,13
109,Queens 109th Precinct,109th Precinct,618,1248,100,65,0,61,0,10,0,21,0,9
110,Queens 110th Precinct,110th Precinct,277,548,54,38,0,18,0,7,0,5,0,11
111,Queens 111th Precinct,111th Precinct,347,714,38,36,0,15,0,0,0,4,0,1
112,Queens 112th Precinct,112th Precinct,214,426,45,27,0,32,0,2,0,9,2,4
113,Queens 113th Precinct,113th Precinct,353,718,87,74,0,44,0,3,0,7,0,3
114,Queens 114th Precinct,114th Precinct,412,795,76,40,0,21,0,12,0,21,0,16
115,Queens 115th Precinct,115th Precinct,310,611,60,47,0,22,0,4,0,10,0,9
120,S.Island 120th Precinct,120th Precinct,219,442,37,27,0,14,0,2,0,8,0,2
121,S.Island 121st Precinct,121st Precinct,326,661,58,42,0,24,0,4,0,8,0,4
122,S.Island 122nd Precinct,122nd Precinct,352,708,62,54,0,25,0,4,0,6,0,4
123,S.Island 123rd Precinct,123rd Precinct,147,288,22,15,0,9,0,2,0,4,0,1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
